affiliate,affiliateId,alertSource,alertSourceId,alertType,alertTypeId,amount,application,application2,applicationId,applicationId2,attempt,authCode,bin,binCountry,campaign,campaignId,cardBrand,cardBrandId,chargebackFee,chargedBack,company,companyId,completed,containsSalesStrategy,currency,customerId,descriptor,eci,email,firstName,gateway,gatewayTransactionId,hasAlert,ipCountry,last4,lastName,merchantAccountId,mid,midName,networkTokenized,orderId,originalApplication,originalApplicationId,originalTransactionId,parentCompanyId,paymentNumber,product,productId,refundSource,refundSourceId,refundable,refunded,sandbox,sent,shopId,status,statusId,storeDomain,storeName,storeRootDomain,submitOrderId,subscription,subscriptionId,success,transactionId
20,500473,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,505128,US,None/Unassigned,0,Mastercard,2,0,False,Vintech LLC,400,2026-02-03T00:01:20,False,USD,DEMO43280392,yogainf.com,,jvojcdxn@sample.com,Taylor,NMI,11661538428,False,US,0717,Anderson,1791,4228994900184476,Vin-Ygy-PAYS-4476,False,202215021,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:20,0,Issuer Declined,3613,,,,202215019,US - Google XSale $29.99/m (12 days),8526,False,1f5263e3-4bc4-457a-818f-f172a650cee7
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,283397,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:20,False,USD,DEMO43280621,storywav.com,,xfsmcwqh@example.com,Quinn,NMI,11661538450,False,US,7747,Anderson,2198,756262670628,Vin-Swe-PPS-0628,False,202215620,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:20,0,Pick up card - F,3821,,,,202215617,US - Google XSale $29.99/m (12 days),8526,False,7af740fa-5636-4979-ba97-4d7c27758388
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,421449,US,None/Unassigned,0,Visa,1,0,False,Minkix LLC,271,2026-02-03T00:01:20,False,USD,DEMO43280563,lvscrip.com,,jskftvhr@example.com,Morgan,NMI,11661538442,False,US,5293,Taylor,1204,4228994900178742,Mnx-Lsc-PAYS-8742,False,202215481,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:20,0,Issuer Declined,3613,,,,202215480,US - Google XSale $29.99/m (12 days),8526,False,12e864b1-1574-44b6-9c10-6be50f852774
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,723318,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:20,False,USD,DEMO43280585,8447640519authcapture.com,,jzlcbzdo@test.com,Riley,NMI,11661538432,False,US,9659,Williams,976,567000000854323,Rst-Aut-PYRC-4323,False,202215532,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:20,0,Insufficient funds.,3619,,,,202215530,Recovery Xsale Trials,8578,False,a7fad92a-98ff-4496-a270-1333b47e22b2
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,553691,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:21,False,USD,DEMO43280471,8447640519authcapture.com,,gldplesc@sample.com,Dakota,NMI,11661538457,False,US,1040,Smith,976,567000000854323,Rst-Aut-PYRC-4323,False,202215248,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:21,0,Transaction not allowed.,3621,,,,202215247,Recovery Xsale Trials,8578,False,65103ffa-2e5b-49dc-b1ab-a89b2cf570d9
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,424307,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:21,False,USD,DEMO43280513,8447640519authcapture.com,,bjwggeiq@test.com,Taylor,NMI,11661538469,False,US,5482,Davis,976,567000000854323,Rst-Aut-PYRC-4323,False,202215360,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:21,0,Transaction not allowed.,3621,,,,202215358,Recovery Xsale Trials,8578,False,2b286c0c-103c-4b2a-82d6-897e118b8a0c
1,500470,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,759556,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:23,False,USD,DEMO43280644,powerpth.com,,pthtmapn@sample.com,Dakota,NMI,11661538675,False,US,9933,Moore,1795,4228994900184492,Vin-Prp-PAYS-4492,False,202215661,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:23,0,Call issuer for further information.,3629,,,,202215660,US - Google XSale $29.99/m (12 days),8526,False,c200c841-fa81-49a5-a94e-789d5676d0e8
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,098353,US,None/Unassigned,0,Mastercard,2,0,False,Vintech LLC,400,2026-02-03T00:01:23,False,USD,DEMO43280571,storywav.com,,bvezdqve@example.com,Riley,NMI,11661538704,False,US,3334,Garcia,1792,4228994900184468,Vin-Swe-PAYS-4468,False,202215495,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:23,0,Issuer Declined,3613,,,,202215493,US - Google XSale $29.99/m (12 days),8526,False,a31265b9-6a27-4b6b-9898-7a4a8803f951
1,500470,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,237598,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:24,False,USD,DEMO43280484,8447640519authcapture.com,,zgptwrgq@example.com,Skylar,NMI,11661538655,False,US,3686,Wilson,976,567000000854323,Rst-Aut-PYRC-4323,False,202215284,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:24,0,Do not honor.,3618,,,,202215281,Recovery Xsale Trials,8578,False,e1eb656b-b3a1-4b31-917b-51eb84402099
20,500473,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,212513,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:24,False,USD,DEMO43280477,8447640519authcapture.com,,rmplbotf@sample.com,Sam,NMI,11661538684,False,US,8016,Davis,976,567000000854323,Rst-Aut-PYRC-4323,False,202215266,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:24,0,Account Closed,3185,,,,202215264,Recovery Xsale Trials,8578,False,08907317-e9d1-4657-8765-703c6efd7f1f
